# PyPlc Ver3 Circuit Data (Extended Format)
# Format: row,col,device_type,address,state,preset_value,current_value,timer_active,last_input_state
# Created: 2025-08-09 18:30:53
row,col,device_type,address,state,preset_value,current_value,timer_active,last_input_state
1,1,CONTACT_A,X001,False,0,0,False,False
1,2,LINK_HORZ,,False,0,0,False,False
1,3,COUNTER_CTU,C001,True,3,0,False,False
2,1,CONTACT_A,X002,False,0,0,False,False
2,2,LINK_HORZ,,False,0,0,False,False
2,3,COUNTER_CTU,C002,True,5,0,False,False
3,1,CONTACT_A,X003,False,0,0,False,False
3,2,LINK_HORZ,,False,0,0,False,False
3,3,COUNTER_CTU,C003,True,2,0,False,False
5,1,CONTACT_A,X004,False,0,0,False,False
5,2,LINK_HORZ,,False,0,0,False,False
5,3,ZRST,C001-C003,False,0,0,False,False
7,1,CONTACT_A,C001,False,0,0,False,False
7,2,LINK_HORZ,,False,0,0,False,False
8,1,CONTACT_A,C002,False,0,0,False,False
8,2,LINK_HORZ,,False,0,0,False,False
9,1,CONTACT_A,C003,False,0,0,False,False
9,2,LINK_HORZ,,False,0,0,False,False
